pl_name,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_orbper,sy_dist,pl_eqt,st_teff,sy_snum
Kepler-1986 b,2023.0,Transit,1.69,,19.5489365,912.085,578.0,5548,1
Kepler-1987 b,2023.0,Transit,,,2.345863002,595.683,,4711,1
Kepler-1987 c,2023.0,Transit,1.47,,3.64829642,595.683,866.0,4750,1
Kepler-1987 d,2023.0,Transit,3.2650001,,5.644889832,595.683,,4769,1
Kepler-1987 e,2023.0,Transit,,,8.74292005,595.683,,4711,1
Kepler-1988 b,2023.0,Transit,,,11.49440414,513.426,,5801.01,1
Kepler-1989 b,2023.0,Transit,4.62,,10.161023528,1252.13,904.0,6032,1
Kepler-199 b,2014.0,Transit,3.87,,23.64219092,521.054,702.0,5989,1
Kepler-199 c,2014.0,Transit,3.9,,67.0935,521.054,500.0,5980,1
Kepler-1990 b,2023.0,Transit,0.0,0.0, Petigura 2018</a>,+44d26m08.54s,0.0, Petigura 2018</a>,1
Kepler-1990 c,2023.0,Transit,0.0,0.0, Petigura 2018</a>,+44d26m08.54s,0.0, Petigura 2018</a>,1
Kepler-1991 b,2023.0,Transit,1.84599996,,13.26080036,855.82,,5478,1
Kepler-1991 c,2023.0,Transit,2.18,,22.79021423,855.82,584.0,5632,1
Kepler-1992 b,2023.0,Transit,1.02699995,,15.61120033,532.955,,5383,1
Kepler-1993 b,2023.0,Transit,0.0,0.0, Petigura 2018</a>,+45d09m38.61s,0.0, Petigura 2018</a>,1
Kepler-1994 b,2023.0,Transit,0.55,,4.61226344,241.991,1026.0,5461,1
Kepler-1995 b,2023.0,Transit,4.23,,73.7579317,595.331,375.0,5029,1
Kepler-1996 b,2023.0,Transit,1.82,,32.3767,440.561,382.0,4572,1
Kepler-1996 c,2023.0,Transit,,,92.7297248,440.561,,4519,1
Kepler-1997 b,2023.0,Transit,2.51,,26.7575859,1502.34,654.0,6197,1
Kepler-1998 b,2023.0,Transit,0.69419998,,3.03263998,340.965,,5640,1
Kepler-1999 b,2023.0,Transit,4282.98,,8.7393272,701.255,576.0,4403,1
Kepler-20 b,2011.0,Transit,,,3.696121272,282.563,,5489,2
Kepler-20 c,2011.0,Transit,,,10.854095934,282.563,,5489,2
Kepler-20 d,2011.0,Transit,2.62,,77.6115987,282.563,397.0,5465,2
Kepler-20 e,2011.0,Transit,,, et al. 2019</a>,42.3385782,,,2
Kepler-20 f,2011.0,Transit,0.99,,19.5776286,282.563,628.0,5465,2
Kepler-20 g,2016.0,Radial Velocity,,20.97014611,34.951009,282.563,,,2
Kepler-200 b,2014.0,Transit,2.19,,8.59479202,665.912,,5773,1
Kepler-200 c,2014.0,Transit,,,10.22215697,665.912,,5838.55,1
Kepler-2000 b,2023.0,Transit,,,6.38316403,320.588,,3886,1
Kepler-2000 c,2023.0,Transit,1.4,,20.6181066,320.588,354.0,3769,1
Kepler-2001 b,2023.0,Transit,1.03,,1.090013327,776.55,1417.0,5093,1
Kepler-2001 c,2023.0,Transit,1.83,,14.092768,776.55,570.0,5013,1
Kepler-201 b,2014.0,Transit,2.46,,25.672083,636.445,,6065,1
Kepler-201 c,2014.0,Transit,2.47,,151.8851881,636.445,378.0,6034,1
Kepler-202 b,2014.0,Transit,1.91,,4.069428401,285.111,843.0,4806,1
Kepler-202 c,2014.0,Transit,1.906,,,285.111,,4762,1
Kepler-203 b,2014.0,Transit,2.61,,3.162692075,703.302,1308.0,5821,1
Kepler-203 c,2014.0,Transit,,,5.370639542,703.302,,5871.24,1
Kepler-203 d,2014.0,Transit,1.317,,,703.302,,5887,1
Kepler-204 b,2014.0,Transit,2.23,,14.40094471,686.723,806.0,6095,1
Kepler-204 c,2014.0,Transit,1.36,,25.661658,686.723,665.0,6095,1
Kepler-205 b,2014.0,Transit,1.37,,2.755637216,159.72,757.0,4121,1
Kepler-205 c,2014.0,Transit,1.29,,20.30655662,159.72,343.0,3834,1
Kepler-206 b,2014.0,Transit,1.263,,,594.447,,5691,1
Kepler-206 c,2014.0,Transit,1.57,,13.13745719,594.447,795.0,5762,1
Kepler-206 d,2014.0,Transit,,,23.4433748,594.447,,5588.41,1
